adm_id,adm_code,adm_type,sido_name,sigungu_name,emd_name,full_name
1,1,sigungu,,종로구,,종로구
2,2,sigungu,,중구,,중구
3,3,sigungu,,용산구,,용산구
4,4,sigungu,,성동구,,성동구
5,5,sigungu,,광진구,,광진구
6,6,sigungu,,동대문구,,동대문구
7,7,sigungu,,중랑구,,중랑구
8,8,sigungu,,성북구,,성북구
9,9,sigungu,,강북구,,강북구
10,10,sigungu,,도봉구,,도봉구
11,11,sigungu,,노원구,,노원구
12,12,sigungu,,은평구,,은평구
13,13,sigungu,,서대문구,,서대문구
14,14,sigungu,,마포구,,마포구
15,15,sigungu,,양천구,,양천구
16,16,sigungu,,강서구,,강서구
17,17,sigungu,,구로구,,구로구
18,18,sigungu,,금천구,,금천구
19,19,sigungu,,영등포구,,영등포구
20,20,sigungu,,동작구,,동작구
21,21,sigungu,,관악구,,관악구
22,22,sigungu,,서초구,,서초구
23,23,sigungu,,강남구,,강남구
24,24,sigungu,,송파구,,송파구
25,25,sigungu,,강동구,,강동구
26,26,sigungu,,중구,,중구
27,27,sigungu,,서구,,서구
28,28,sigungu,,동구,,동구
29,29,sigungu,,영도구,,영도구
30,30,sigungu,,부산진구,,부산진구
31,31,sigungu,,동래구,,동래구
32,32,sigungu,,남구,,남구
33,33,sigungu,,북구,,북구
34,34,sigungu,,해운대구,,해운대구
35,35,sigungu,,사하구,,사하구
36,36,sigungu,,금정구,,금정구
37,37,sigungu,,강서구,,강서구
38,38,sigungu,,연제구,,연제구
39,39,sigungu,,수영구,,수영구
40,40,sigungu,,사상구,,사상구
41,41,sigungu,,기장군,,기장군
42,42,sigungu,,중구,,중구
43,43,sigungu,,동구,,동구
44,44,sigungu,,서구,,서구
45,45,sigungu,,남구,,남구
46,46,sigungu,,북구,,북구
47,47,sigungu,,수성구,,수성구
48,48,sigungu,,달서구,,달서구
49,49,sigungu,,달성군,,달성군
50,50,sigungu,,중구,,중구
51,51,sigungu,,동구,,동구
52,52,sigungu,,남구,,남구
53,53,sigungu,,연수구,,연수구
54,54,sigungu,,남동구,,남동구
55,55,sigungu,,부평구,,부평구
56,56,sigungu,,계양구,,계양구
57,57,sigungu,,서구,,서구
58,58,sigungu,,강화군,,강화군
59,59,sigungu,,옹진군,,옹진군
60,60,sigungu,,동구,,동구
61,61,sigungu,,서구,,서구
62,62,sigungu,,남구,,남구
63,63,sigungu,,북구,,북구
64,64,sigungu,,광산구,,광산구
65,65,sigungu,,동구,,동구
66,66,sigungu,,중구,,중구
67,67,sigungu,,서구,,서구
68,68,sigungu,,유성구,,유성구
69,69,sigungu,,대덕구,,대덕구
70,70,sigungu,,중구,,중구
71,71,sigungu,,남구,,남구
72,72,sigungu,,동구,,동구
73,73,sigungu,,북구,,북구
74,74,sigungu,,울주군,,울주군
75,75,sigungu,,세종시,,세종시
76,76,sigungu,,수원시장안구,,수원시장안구
77,77,sigungu,,수원시권선구,,수원시권선구
78,78,sigungu,,수원시팔달구,,수원시팔달구
79,79,sigungu,,수원시영통구,,수원시영통구
80,80,sigungu,,성남시수정구,,성남시수정구
81,81,sigungu,,성남시중원구,,성남시중원구
82,82,sigungu,,성남시분당구,,성남시분당구
83,83,sigungu,,의정부시,,의정부시
84,84,sigungu,,안양시만안구,,안양시만안구
85,85,sigungu,,안양시동안구,,안양시동안구
86,86,sigungu,,부천시,,부천시
87,87,sigungu,,광명시,,광명시
88,88,sigungu,,평택시,,평택시
89,89,sigungu,,동두천시,,동두천시
90,90,sigungu,,안산시상록구,,안산시상록구
91,91,sigungu,,안산시단원구,,안산시단원구
92,92,sigungu,,고양시덕양구,,고양시덕양구
93,93,sigungu,,고양시일산동구,,고양시일산동구
94,94,sigungu,,고양시일산서구,,고양시일산서구
95,95,sigungu,,과천시,,과천시
96,96,sigungu,,구리시,,구리시
97,97,sigungu,,남양주시,,남양주시
98,98,sigungu,,오산시,,오산시
99,99,sigungu,,시흥시,,시흥시
100,100,sigungu,,군포시,,군포시
101,101,sigungu,,의왕시,,의왕시
102,102,sigungu,,하남시,,하남시
103,103,sigungu,,용인시처인구,,용인시처인구
104,104,sigungu,,용인시기흥구,,용인시기흥구
105,105,sigungu,,용인시수지구,,용인시수지구
106,106,sigungu,,파주시,,파주시
107,107,sigungu,,이천시,,이천시
108,108,sigungu,,안성시,,안성시
109,109,sigungu,,김포시,,김포시
110,110,sigungu,,화성시,,화성시
111,111,sigungu,,광주시,,광주시
112,112,sigungu,,양주시,,양주시
113,113,sigungu,,포천시,,포천시
114,114,sigungu,,여주시,,여주시
115,115,sigungu,,연천군,,연천군
116,116,sigungu,,가평군,,가평군
117,117,sigungu,,양평군,,양평군
118,118,sigungu,,춘천시,,춘천시
119,119,sigungu,,원주시,,원주시
120,120,sigungu,,강릉시,,강릉시
121,121,sigungu,,동해시,,동해시
122,122,sigungu,,태백시,,태백시
123,123,sigungu,,속초시,,속초시
124,124,sigungu,,삼척시,,삼척시
125,125,sigungu,,홍천군,,홍천군
126,126,sigungu,,횡성군,,횡성군
127,127,sigungu,,영월군,,영월군
128,128,sigungu,,평창군,,평창군
129,129,sigungu,,정선군,,정선군
130,130,sigungu,,철원군,,철원군
131,131,sigungu,,화천군,,화천군
132,132,sigungu,,양구군,,양구군
133,133,sigungu,,인제군,,인제군
134,134,sigungu,,고성군,,고성군
135,135,sigungu,,양양군,,양양군
136,136,sigungu,,충주시,,충주시
137,137,sigungu,,제천시,,제천시
138,138,sigungu,,청주시상당구,,청주시상당구
139,139,sigungu,,청주시서원구,,청주시서원구
140,140,sigungu,,청주시흥덕구,,청주시흥덕구
141,141,sigungu,,청주시청원구,,청주시청원구
142,142,sigungu,,보은군,,보은군
143,143,sigungu,,옥천군,,옥천군
144,144,sigungu,,영동군,,영동군
145,145,sigungu,,진천군,,진천군
146,146,sigungu,,괴산군,,괴산군
147,147,sigungu,,음성군,,음성군
148,148,sigungu,,단양군,,단양군
149,149,sigungu,,증평군,,증평군
150,150,sigungu,,천안시동남구,,천안시동남구
151,151,sigungu,,천안시서북구,,천안시서북구
152,152,sigungu,,공주시,,공주시
153,153,sigungu,,보령시,,보령시
154,154,sigungu,,아산시,,아산시
155,155,sigungu,,서산시,,서산시
156,156,sigungu,,논산시,,논산시
157,157,sigungu,,계룡시,,계룡시
158,158,sigungu,,당진시,,당진시
159,159,sigungu,,금산군,,금산군
160,160,sigungu,,부여군,,부여군
161,161,sigungu,,서천군,,서천군
162,162,sigungu,,청양군,,청양군
163,163,sigungu,,홍성군,,홍성군
164,164,sigungu,,예산군,,예산군
165,165,sigungu,,태안군,,태안군
166,166,sigungu,,전주시완산구,,전주시완산구
167,167,sigungu,,전주시덕진구,,전주시덕진구
168,168,sigungu,,군산시,,군산시
169,169,sigungu,,익산시,,익산시
170,170,sigungu,,정읍시,,정읍시
171,171,sigungu,,남원시,,남원시
172,172,sigungu,,김제시,,김제시
173,173,sigungu,,완주군,,완주군
174,174,sigungu,,진안군,,진안군
175,175,sigungu,,무주군,,무주군
176,176,sigungu,,장수군,,장수군
177,177,sigungu,,임실군,,임실군
178,178,sigungu,,순창군,,순창군
179,179,sigungu,,고창군,,고창군
180,180,sigungu,,부안군,,부안군
181,181,sigungu,,목포시,,목포시
