rule_id,zone_id,identifier,airspace_type,airspace_name,composition_op,upper_limit,upper_unit,lower_limit,lower_unit,airspace_class,altitude_interpretation,match_method
1,1,D6,D,RK D6 YEONGDONG,BASE,3000,FT,GND,,,,identifier_in_text
2,2,DAEGU,CTA,DAEGU SECTOR,BASE,600,FL,1000,FT,,,identifier_in_text
3,3,A2,A,RK A2 ASAN,BASE,5000,FT,GND,,,,identifier_in_text
4,4,GIMPO CTR,CTR,GIMPO CTR,,3000,FT,FLOOR,,,,zone_name_partial
5,5,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
6,6,D7,D,RK D7 HANBIT,BASE,10000,FT,GND,,,,identifier_in_text
7,7,D1,D,RK D1 GORI,BASE,10000,FT,GND,,,,identifier_in_text
8,8,,,,,,,,,,,unmatched
9,9,JEONGSEOK,CTR,JEONGSEOK CTR,,3000,FT,1174.2848,FT,,,identifier_in_text
10,10,D18,D,RK D18 HAKSAN,BASE,3000,FT,GND,,,,identifier_in_text
11,11,D33,D,RK D33 YEONJE,BASE,1500,FT,GND,,,,identifier_in_text
12,12,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
13,13,A9B,A,RK A9B IEODO,BASE,3000,FT,GND,,,,identifier_in_text
14,14,D6,D,RK D6 YEONGDONG,BASE,3000,FT,GND,,,,identifier_in_text
15,15,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
16,16,D8,D,RK D8 HANUL,BASE,8000,FT,GND,,,,identifier_in_text
17,17,D8,D,RK D8 HANUL,BASE,8000,FT,GND,,,,identifier_in_text
18,18,D19,D,RK D19 JUDEOK,BASE,1000,FT,GND,,,,identifier_in_text
19,19,D9,D,RK D9 YEONGCHEON,BASE,3000,FT,GND,,,,identifier_in_text
20,20,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
21,21,DAEGU,CTA,DAEGU SECTOR,BASE,600,FL,1000,FT,,,identifier_in_text
22,22,DAEGU,CTA,DAEGU SECTOR,BASE,600,FL,1000,FT,,,identifier_in_text
23,23,DAEGU,CTA,DAEGU SECTOR,BASE,600,FL,1000,FT,,,identifier_in_text
24,24,T 24,TMA,T 24,BASE,225,FL,1 000,FT,C,,identifier_in_text
25,25,T 25,TMA,T 25,BASE,145,FL,1 000,FT,D,,identifier_in_text
26,26,T 26,TMA,T 26,BASE,225,FL,1000,FT,,,identifier_in_text
27,27,T 28,TMA,T 28,BASE,145,FL,1 000,FT,C,,identifier_in_text
28,28,T 27,TMA,T 27,BASE,225,FL,1 000,FT,C,,identifier_in_text
29,29,T 29,TMA,T 29,BASE,225,FL,1 000,FT,C,,identifier_in_text
30,30,D34,D,RK D34 SUYEONG,BASE,1600,FT,GND,,,,identifier_in_text
31,31,T 38,TMA,T 38,BASE,11 500,FT,1 000,FT,C,,identifier_in_text
32,32,T 37,TMA,T 37,BASE,145,FL,1 000,FT,C,,identifier_in_text
33,33,T 39,TMA,T 39,BASE,4 500,FT,1 000,FT,E,,identifier_in_text
34,34,T 14,TMA,T 14,BASE,11 500,FT,4 500,FT,E,,identifier_in_text
35,35,T 23,TMA,T 23,BASE,165,FL,1 000,FT,B,,identifier_in_text
36,36,T 43,TMA,T 43,BASE,165,FL,6 000,FT,E,,identifier_in_text
37,37,D34,D,RK D34 SUYEONG,BASE,1600,FT,GND,,,,identifier_in_text
38,38,D15,D,RK D15 JEONUI,BASE,3000,FT,GND,,,,identifier_in_text
39,39,D37,D,RK D37 MOONTEN,BASE,1600,FT,GND,,,,identifier_in_text
40,40,T 20,TMA,T 20,BASE,145,FL,5 500,FT,,,identifier_in_text
41,41,T 17,TMA,T 17,BASE,145,FL,6 500,FT,D,,identifier_in_text
42,42,T 21,TMA,T 21,BASE,3500,FT,1 000,FT,,,identifier_in_text
43,43,T 03,TMA,T 03,BASE,185,FL,4 500,FT,B,,identifier_in_text
44,44,D29,D,RK D29 MULLAE,BASE,1600,FT,GND,,,,identifier_in_text
45,45,T 13,TMA,T 13,BASE,9 500,FT,4 500,FT,,,identifier_in_text
46,46,D28,D,RK D28 SINDORIM,BASE,1700,FT,GND,,,,identifier_in_text
47,47,T 11,TMA,T 11,BASE,6 500,FT,1 000,FT,,,identifier_in_text
48,48,T 12,TMA,T 12,BASE,6 500,FT,4 500,FT,,,identifier_in_text
49,49,T 14,TMA,T 14,BASE,11 500,FT,4 500,FT,E,,identifier_in_text
50,50,T 06,TMA,T 06,BASE,185,FL,9 500,FT,D,,identifier_in_text
51,51,T 05,TMA,T 05,BASE,185,FL,7 500,FT,D,,identifier_in_text
52,52,T 15,TMA,T 15,BASE,11 500,FT,1 000,FT,D,,identifier_in_text
53,53,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
54,54,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
