zone_id,source_id,zone_uid,zone_code,zone_name,zone_category,source_layer,description,is_active,created_at,updated_at
1,1,관제권_0,,CHEONGJU,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>CHEONGJU</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{4EEEB345-D6AA-4B72-B775-DEF7F2EF7B90}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>CHEONGJU</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>5000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>D</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
2,1,관제권_1,,DAEGU,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>DAEGU</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{ADCA029C-2643-4EF5-B2C8-B16B8F85D342}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>DAEGU</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>4000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
3,1,관제권_2,,GIMHAE,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>GIMHAE</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{AAB331FF-260B-46C5-A0A2-8DC8AAC1B827}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>GIMHAE</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
4,1,관제권_3,,GIMPO,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>GIMPO</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{8C564BF0-B676-42C4-AB11-FA3578455C76}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>GIMPO</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>B</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
5,1,관제권_4,,GUNSAN,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>GUNSAN</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{2784BEB0-EAAA-405E-970E-A8F5F65CF894}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>GUNSAN</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
6,1,관제권_5,,GWANGJU,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>GWANGJU</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{800F2A93-1DF6-4D7D-B4CC-B56076C60179}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>GWANGJU</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>4000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
7,1,관제권_6,,INCHEON,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>INCHEON</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{4733E313-222C-4C25-913C-6D113CF7309E}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>INCHEON</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>B</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
8,1,관제권_7,,JEJU,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>JEJU</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{7E9E9B3F-7B7E-45CF-AFC6-F97FE566BDF7}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>JEJU</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
9,1,관제권_8,,JEONGSEOK,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>JEONGSEOK</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{A507F6E6-9F58-42F2-832C-647059118FD6}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>JEONGSEOK</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>3000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>Surface</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>D</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
10,1,관제권_9,,JUNGWON,AIRSPACE,관제권,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>JUNGWON</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>GFID</td>

<td>{E35FFA43-3D18-45ED-ADC6-96926866D6BB}</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Remarks_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Ident_Txt</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Name_Txt</td>

<td>JUNGWON</td>

</tr>

<tr>

<td>DistVertUpper_Val</td>

<td>5000</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertUpper_UOM</td>

<td>Feet</td>

</tr>

<tr>

<td>DistVertUpper_Code</td>

<td>Height</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Val</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>DistVertLower_UOM</td>

<td>&lt;Null&gt;</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>DistVertLower_Code</td>

<td>&lt;Null&gt;</td>

</tr>

<tr>

<td>Type_Code</td>

<td>Control Zone</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Class_Code</td>

<td>C</td>

</tr>

<tr>

<td>RuleID</td>

<td>&lt;Null&gt;</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>",1,2026-03-10 14:52:22,2026-03-10 14:52:22
